日期	星期	时间	双方	客队	主队	客队编号	主队编号
2017/12/12	星期二	11:30	猛龙vs快船	猛龙	快船	14	8
2017/12/12	星期二	11:30	开拓者vs勇士	开拓者	勇士	12	2
2017/12/13	星期三	8:00	掘金vs活塞	掘金	活塞	15	21
2017/12/13	星期三	8:00	老鹰vs骑士	老鹰	骑士	27	3
2017/12/13	星期三	8:00	湖人vs尼克斯	湖人	尼克斯	20	16
2017/12/13	星期三	8:30	奇才vs篮网	奇才	篮网	22	19
2017/12/13	星期三	9:00	76人vs森林狼	76人	森林狼	7	6
2017/12/13	星期三	10:30	马刺vs小牛	马刺	小牛	5	29
2017/12/13	星期三	11:00	太阳vs国王	太阳	国王	28	17
2017/12/14	星期四	8:00	快船vs魔术	快船	魔术	8	10
2017/12/14	星期四	8:00	雷霆vs步行者	雷霆	步行者	0	13
2017/12/14	星期四	8:00	灰熊vs奇才	灰熊	奇才	9	22
2017/12/14	星期四	8:30	开拓者vs热火	开拓者	热火	12	23
2017/12/14	星期四	8:30	掘金vs凯尔特人	掘金	凯尔特人	15	4
2017/12/14	星期四	9:00	爵士vs公牛	爵士	公牛	18	26
2017/12/14	星期四	9:00	雄鹿vs鹈鹕	雄鹿	鹈鹕	25	11
2017/12/14	星期四	10:00	猛龙vs太阳	猛龙	太阳	14	28
2017/12/14	星期四	10:30	黄蜂vs火箭	黄蜂	火箭	24	1
2017/12/15	星期五	8:30	活塞vs老鹰	活塞	老鹰	21	27
2017/12/15	星期五	8:30	尼克斯vs篮网	尼克斯	篮网	16	19
2017/12/15	星期五	9:00	国王vs森林狼	国王	森林狼	17	6
2017/12/15	星期五	9:00	湖人vs骑士	湖人	骑士	20	3
2017/12/15	星期五	11:30	小牛vs勇士	小牛	勇士	29	2
2017/12/16	星期六	8:00	热火vs黄蜂	热火	黄蜂	23	24
2017/12/16	星期六	8:00	活塞vs步行者	活塞	步行者	21	13
2017/12/16	星期六	8:00	雷霆vs76人	雷霆	76人	0	7
2017/12/16	星期六	8:00	开拓者vs魔术	开拓者	魔术	12	10
2017/12/16	星期六	8:00	快船vs奇才	快船	奇才	8	22
2017/12/16	星期六	8:30	爵士vs凯尔特人	爵士	凯尔特人	18	4
2017/12/16	星期六	8:30	篮网vs猛龙	篮网	猛龙	19	14
2017/12/16	星期六	9:00	老鹰vs灰熊	老鹰	灰熊	27	9
2017/12/16	星期六	9:00	公牛vs雄鹿	公牛	雄鹿	26	25
2017/12/16	星期六	10:00	鹈鹕vs掘金	鹈鹕	掘金	11	15
2017/12/16	星期六	10:30	马刺vs火箭	马刺	火箭	5	1
2017/12/17	星期日	8:00	开拓者vs黄蜂	开拓者	黄蜂	12	24
2017/12/17	星期日	8:30	爵士vs骑士	爵士	骑士	18	3
2017/12/17	星期日	8:30	雷霆vs尼克斯	雷霆	尼克斯	0	16
2017/12/17	星期日	9:00	太阳vs森林狼	太阳	森林狼	28	6
2017/12/17	星期日	9:00	雄鹿vs火箭	雄鹿	火箭	25	1
2017/12/17	星期日	9:00	快船vs热火	快船	热火	8	23
2017/12/17	星期日	9:30	小牛vs马刺	小牛	马刺	29	5
2017/12/17	星期日	10:00	凯尔特人vs灰熊	凯尔特人	灰熊	4	9
2017/12/18	星期一	4:30	国王vs猛龙	国王	猛龙	17	14
2017/12/18	星期一	5:00	魔术vs活塞	魔术	活塞	10	21
2017/12/18	星期一	7:00	步行者vs篮网	步行者	篮网	13	19
2017/12/18	星期一	7:00	骑士vs奇才	骑士	奇才	3	22
2017/12/19	星期二	8:00	凯尔特人vs步行者	凯尔特人	步行者	4	13
2017/12/19	星期二	8:00	尼克斯vs黄蜂	尼克斯	黄蜂	16	24
2017/12/19	星期二	8:30	热火vs老鹰	热火	老鹰	23	27
2017/12/19	星期二	9:00	76人vs公牛	76人	公牛	7	26
2017/12/19	星期二	9:00	开拓者vs森林狼	开拓者	森林狼	12	6
2017/12/19	星期二	9:00	掘金vs雷霆	掘金	雷霆	15	0
2017/12/19	星期二	9:00	爵士vs火箭	爵士	火箭	18	1
2017/12/19	星期二	9:30	太阳vs小牛	太阳	小牛	28	29
2017/12/19	星期二	9:30	快船vs马刺	快船	马刺	8	5
2017/12/19	星期二	11:30	勇士vs湖人	勇士	湖人	2	20
2017/12/20	星期三	8:00	鹈鹕vs奇才	鹈鹕	奇才	11	22
2017/12/20	星期三	8:00	国王vs76人	国王	76人	17	7
2017/12/20	星期三	9:00	骑士vs雄鹿	骑士	雄鹿	3	25
2017/12/21	星期四	8:00	猛龙vs黄蜂	猛龙	黄蜂	14	24
2017/12/21	星期四	8:30	热火vs凯尔特人	热火	凯尔特人	23	4
2017/12/21	星期四	8:30	国王vs篮网	国王	篮网	17	19
2017/12/21	星期四	8:30	步行者vs老鹰	步行者	老鹰	13	27
2017/12/21	星期四	9:00	爵士vs雷霆	爵士	雷霆	18	0
2017/12/21	星期四	9:00	湖人vs火箭	湖人	火箭	20	1
2017/12/21	星期四	9:00	魔术vs公牛	魔术	公牛	10	26
2017/12/21	星期四	9:30	活塞vs小牛	活塞	小牛	21	29
2017/12/21	星期四	10:00	森林狼vs掘金	森林狼	掘金	6	15
2017/12/21	星期四	11:00	马刺vs开拓者	马刺	开拓者	5	12
2017/12/21	星期四	11:30	太阳vs快船	太阳	快船	28	8
2017/12/21	星期四	11:30	灰熊vs勇士	灰熊	勇士	9	2
2017/12/22	星期五	8:00	公牛vs骑士	公牛	骑士	26	3
2017/12/22	星期五	8:00	猛龙vs76人	猛龙	76人	14	7
2017/12/22	星期五	9:00	凯尔特人vs尼克斯	凯尔特人	尼克斯	4	16
2017/12/22	星期五	10:00	灰熊vs太阳	灰熊	太阳	9	28
2017/12/22	星期五	11:30	马刺vs爵士	马刺	爵士	5	18
2017/12/23	星期六	8:00	鹈鹕vs魔术	鹈鹕	魔术	11	10
2017/12/23	星期六	8:00	尼克斯vs活塞	尼克斯	活塞	16	21
2017/12/23	星期六	8:30	奇才vs篮网	奇才	篮网	22	19
2017/12/23	星期六	9:00	黄蜂vs雄鹿	黄蜂	雄鹿	24	25
2017/12/23	星期六	9:00	快船vs火箭	快船	火箭	8	1
2017/12/23	星期六	9:00	小牛vs热火	小牛	热火	29	23
2017/12/23	星期六	9:00	老鹰vs雷霆	老鹰	雷霆	27	0
2017/12/23	星期六	11:00	掘金vs开拓者	掘金	开拓者	15	12
2017/12/23	星期六	11:30	湖人vs勇士	湖人	勇士	20	2
2017/12/24	星期日	6:00	76人vs猛龙	76人	猛龙	7	14
2017/12/24	星期日	8:00	雄鹿vs黄蜂	雄鹿	黄蜂	25	24
2017/12/24	星期日	8:00	魔术vs奇才	魔术	奇才	10	22
2017/12/24	星期日	8:00	篮网vs步行者	篮网	步行者	19	13
2017/12/24	星期日	8:30	小牛vs老鹰	小牛	老鹰	29	27
2017/12/24	星期日	8:30	公牛vs凯尔特人	公牛	凯尔特人	26	4
2017/12/24	星期日	9:00	快船vs灰熊	快船	灰熊	8	9
2017/12/24	星期日	9:00	鹈鹕vs热火	鹈鹕	热火	11	23
2017/12/24	星期日	9:00	雷霆vs爵士	雷霆	爵士	0	18
2017/12/24	星期日	9:30	掘金vs勇士	掘金	勇士	15	2
2017/12/24	星期日	10:00	森林狼vs太阳	森林狼	太阳	6	28
2017/12/24	星期日	10:30	开拓者vs湖人	开拓者	湖人	12	20
2017/12/24	星期日	11:00	马刺vs国王	马刺	国王	5	17
2017/12/26	星期二	1:00	76人vs尼克斯	76人	尼克斯	7	16
2017/12/26	星期二	4:00	骑士vs勇士	骑士	勇士	3	2
2017/12/26	星期二	6:30	奇才vs凯尔特人	奇才	凯尔特人	22	4
2017/12/26	星期二	9:00	火箭vs雷霆	火箭	雷霆	1	0
2017/12/26	星期二	11:30	森林狼vs湖人	森林狼	湖人	6	20
2017/12/27	星期三	8:00	步行者vs活塞	步行者	活塞	13	21
2017/12/27	星期三	8:00	猛龙vs小牛	猛龙	小牛	14	29
2017/12/27	星期三	8:30	魔术vs热火	魔术	热火	10	23
2017/12/27	星期三	9:00	公牛vs雄鹿	公牛	雄鹿	26	25
2017/12/27	星期三	9:30	篮网vs马刺	篮网	马刺	19	5
2017/12/27	星期三	10:00	灰熊vs太阳	灰熊	太阳	9	28
2017/12/27	星期三	10:00	爵士vs掘金	爵士	掘金	18	15
2017/12/27	星期三	11:30	国王vs快船	国王	快船	17	8
2017/12/28	星期四	8:00	小牛vs步行者	小牛	步行者	29	13
2017/12/28	星期四	8:00	凯尔特人vs黄蜂	凯尔特人	黄蜂	4	24
2017/12/28	星期四	8:30	奇才vs老鹰	奇才	老鹰	22	27
2017/12/28	星期四	9:00	猛龙vs雷霆	猛龙	雷霆	14	0
2017/12/28	星期四	9:00	尼克斯vs公牛	尼克斯	公牛	16	26
2017/12/28	星期四	9:00	掘金vs森林狼	掘金	森林狼	15	6
2017/12/28	星期四	9:00	篮网vs鹈鹕	篮网	鹈鹕	19	11
2017/12/28	星期四	11:00	骑士vs国王	骑士	国王	3	17
2017/12/28	星期四	11:30	灰熊vs湖人	灰熊	湖人	9	20
2017/12/28	星期四	11:30	爵士vs勇士	爵士	勇士	18	2
2017/12/29	星期五	8:00	活塞vs魔术	活塞	魔术	21	10
2017/12/29	星期五	9:00	森林狼vs雄鹿	森林狼	雄鹿	6	25
2017/12/29	星期五	9:00	火箭vs凯尔特人	火箭	凯尔特人	1	4
2017/12/29	星期五	9:30	尼克斯vs马刺	尼克斯	马刺	16	5
2017/12/29	星期五	11:30	76人vs开拓者	76人	开拓者	7	12
2017/12/30	星期六	8:00	火箭vs奇才	火箭	奇才	1	22
2017/12/30	星期六	8:30	老鹰vs猛龙	老鹰	猛龙	27	14
2017/12/30	星期六	9:00	篮网vs热火	篮网	热火	19	23
2017/12/30	星期六	9:00	小牛vs鹈鹕	小牛	鹈鹕	29	11
2017/12/30	星期六	9:00	雄鹿vs雷霆	雄鹿	雷霆	25	0
2017/12/30	星期六	9:00	步行者vs公牛	步行者	公牛	13	26
2017/12/30	星期六	11:00	太阳vs国王	太阳	国王	28	17
2017/12/30	星期六	11:30	黄蜂vs勇士	黄蜂	勇士	24	2
2017/12/30	星期六	11:30	快船vs湖人	快船	湖人	8	20
2017/12/31	星期日	8:00	尼克斯vs鹈鹕	尼克斯	鹈鹕	16	11
2017/12/31	星期日	8:00	热火vs魔术	热火	魔术	23	10
2017/12/31	星期日	8:00	马刺vs活塞	马刺	活塞	5	21
2017/12/31	星期日	8:30	开拓者vs老鹰	开拓者	老鹰	12	27
2017/12/31	星期日	9:00	骑士vs爵士	骑士	爵士	3	18
2017/12/31	星期日	9:30	灰熊vs勇士	灰熊	勇士	9	2
2017/12/31	星期日	10:00	76人vs掘金	76人	掘金	7	15
2017/1/1	星期一	4:30	公牛vs奇才	公牛	奇才	26	22
2017/1/1	星期一	6:00	森林狼vs步行者	森林狼	步行者	6	13
2017/1/1	星期一	6:30	篮网vs凯尔特人	篮网	凯尔特人	19	4
2017/1/1	星期一	8:00	灰熊vs国王	灰熊	国王	9	17
2017/1/1	星期一	8:00	小牛vs雷霆	小牛	雷霆	29	0
2017/1/1	星期一	8:00	黄蜂vs快船	黄蜂	快船	24	8
2017/1/1	星期一	8:00	湖人vs火箭	湖人	火箭	20	1
2017/1/1	星期一	9:00	76人vs太阳	76人	太阳	7	28
2017/1/2	星期二	8:30	雄鹿vs猛龙	雄鹿	猛龙	25	14
2017/1/2	星期二	8:30	魔术vs篮网	魔术	篮网	10	19
2017/1/2	星期二	9:00	湖人vs森林狼	湖人	森林狼	20	6
2017/1/2	星期二	9:00	开拓者vs公牛	开拓者	公牛	12	26
2017/1/3	星期三	8:00	开拓者vs骑士	开拓者	骑士	12	3
2017/1/3	星期三	8:30	马刺vs尼克斯	马刺	尼克斯	5	16
2017/1/3	星期三	10:00	老鹰vs太阳	老鹰	太阳	27	28
2017/1/3	星期三	11:00	黄蜂vs国王	黄蜂	国王	24	17
2017/1/3	星期三	11:30	灰熊vs快船	灰熊	快船	9	8
2017/1/4	星期四	8:00	尼克斯vs奇才	尼克斯	奇才	16	22
2017/1/4	星期四	8:00	火箭vs魔术	火箭	魔术	1	10
2017/1/4	星期四	8:00	马刺vs76人	马刺	76人	5	7
2017/1/4	星期四	8:30	森林狼vs篮网	森林狼	篮网	6	19
2017/1/4	星期四	8:30	活塞vs热火	活塞	热火	21	23
2017/1/4	星期四	9:00	骑士vs凯尔特人	骑士	凯尔特人	3	4
2017/1/4	星期四	9:00	步行者vs雄鹿	步行者	雄鹿	13	25
2017/1/4	星期四	9:00	猛龙vs公牛	猛龙	公牛	14	26
2017/1/4	星期四	9:30	勇士vs小牛	勇士	小牛	2	29
2017/1/4	星期四	10:00	鹈鹕vs爵士	鹈鹕	爵士	11	18
2017/1/4	星期四	10:00	太阳vs掘金	太阳	掘金	28	15
2017/1/4	星期四	11:30	雷霆vs湖人	雷霆	湖人	0	20
2017/1/5	星期五	9:00	勇士vs火箭	勇士	火箭	2	1
2017/1/5	星期五	11:30	雷霆vs快船	雷霆	快船	0	8
2017/1/6	星期六	8:00	活塞vs76人	活塞	76人	21	7
2017/1/6	星期六	8:00	尼克斯vs热火	尼克斯	热火	16	23
2017/1/6	星期六	8:30	森林狼vs凯尔特人	森林狼	凯尔特人	6	4
2017/1/6	星期六	9:00	猛龙vs雄鹿	猛龙	雄鹿	14	25
2017/1/6	星期六	9:30	太阳vs马刺	太阳	马刺	28	5
2017/1/6	星期六	9:30	公牛vs小牛	公牛	小牛	26	29
2017/1/6	星期六	10:00	爵士vs掘金	爵士	掘金	18	15
2017/1/6	星期六	10:30	奇才vs灰熊	奇才	灰熊	22	9
2017/1/6	星期六	11:00	老鹰vs开拓者	老鹰	开拓者	27	12
2017/1/6	星期六	11:30	黄蜂vs湖人	黄蜂	湖人	24	20
2017/1/7	星期日	4:30	勇士vs快船	勇士	快船	2	8
2017/1/7	星期日	7:00	凯尔特人vs篮网	凯尔特人	篮网	4	19
2017/1/7	星期日	8:00	公牛vs步行者	公牛	步行者	26	13
2017/1/7	星期日	8:00	骑士vs魔术	骑士	魔术	3	10
2017/1/7	星期日	8:00	火箭vs活塞	火箭	活塞	1	21
2017/1/7	星期日	9:00	雄鹿vs奇才	雄鹿	奇才	25	22
2017/1/7	星期日	10:00	鹈鹕vs森林狼	鹈鹕	森林狼	11	6
2017/1/7	星期日	11:00	掘金vs国王	掘金	国王	15	17
2017/1/8	星期一	4:30	爵士vs热火	爵士	热火	18	23
2017/1/8	星期一	8:00	尼克斯vs小牛	尼克斯	小牛	16	29
2017/1/8	星期一	9:00	雷霆vs太阳	雷霆	太阳	0	28
2017/1/8	星期一	10:00	马刺vs开拓者	马刺	开拓者	5	12
2017/1/8	星期一	10:30	老鹰vs湖人	老鹰	湖人	27	20
2017/1/9	星期二	8:00	雄鹿vs步行者	雄鹿	步行者	25	13
2017/1/9	星期二	8:30	猛龙vs篮网	猛龙	篮网	14	19
2017/1/9	星期二	9:00	骑士vs森林狼	骑士	森林狼	3	6
2017/1/9	星期二	9:00	火箭vs公牛	火箭	公牛	1	26
2017/1/9	星期二	9:00	活塞vs鹈鹕	活塞	鹈鹕	21	11
2017/1/9	星期二	11:00	马刺vs国王	马刺	国王	5	17
2017/1/9	星期二	11:30	老鹰vs快船	老鹰	快船	27	8
2017/1/9	星期二	11:30	掘金vs勇士	掘金	勇士	15	2
2017/1/10	星期三	8:30	热火vs猛龙	热火	猛龙	23	14
2017/1/10	星期三	9:00	开拓者vs雷霆	开拓者	雷霆	12	0
2017/1/10	星期三	9:30	魔术vs小牛	魔术	小牛	10	29
2017/1/10	星期三	11:30	国王vs湖人	国王	湖人	17	20
2017/1/11	星期四	8:00	爵士vs奇才	爵士	奇才	18	22
2017/1/11	星期四	8:00	小牛vs黄蜂	小牛	黄蜂	29	24
2017/1/11	星期四	8:00	热火vs步行者	热火	步行者	23	13
2017/1/11	星期四	8:30	活塞vs篮网	活塞	篮网	21	19
2017/1/11	星期四	8:30	公牛vs尼克斯	公牛	尼克斯	26	16
2017/1/11	星期四	9:00	开拓者vs火箭	开拓者	火箭	12	1
2017/1/11	星期四	9:00	鹈鹕vs灰熊	鹈鹕	灰熊	11	9
2017/1/11	星期四	9:00	雷霆vs森林狼	雷霆	森林狼	0	6
2017/1/11	星期四	9:00	魔术vs雄鹿	魔术	雄鹿	10	25
2017/1/11	星期四	10:00	老鹰vs掘金	老鹰	掘金	27	15
2017/1/11	星期四	11:30	快船vs勇士	快船	勇士	8	2
2017/1/12	星期五	4:00	凯尔特人vs76人	凯尔特人	76人	4	7
2017/1/12	星期五	9:00	骑士vs猛龙	骑士	猛龙	3	14
2017/1/12	星期五	11:00	快船vs国王	快船	国王	8	17
2017/1/12	星期五	11:30	马刺vs湖人	马刺	湖人	5	20
2017/1/13	星期六	8:00	魔术vs奇才	魔术	奇才	10	22
2017/1/13	星期六	8:00	骑士vs步行者	骑士	步行者	3	13
2017/1/13	星期六	8:00	爵士vs黄蜂	爵士	黄蜂	18	24
2017/1/13	星期六	8:30	篮网vs老鹰	篮网	老鹰	19	27
2017/1/13	星期六	9:00	尼克斯vs森林狼	尼克斯	森林狼	16	6
2017/1/13	星期六	9:00	勇士vs雄鹿	勇士	雄鹿	2	25
2017/1/13	星期六	9:00	开拓者vs鹈鹕	开拓者	鹈鹕	12	11
2017/1/13	星期六	10:00	灰熊vs掘金	灰熊	掘金	9	15
2017/1/13	星期六	11:30	火箭vs太阳	火箭	太阳	1	28
2017/1/14	星期日	3:00	湖人vs小牛	湖人	小牛	20	29
2017/1/14	星期日	4:30	国王vs快船	国王	快船	17	8
2017/1/14	星期日	6:00	雷霆vs黄蜂	雷霆	黄蜂	0	24
2017/1/14	星期日	8:00	篮网vs奇才	篮网	奇才	19	22
2017/1/14	星期日	8:30	勇士vs猛龙	勇士	猛龙	2	14
2017/1/14	星期日	9:00	活塞vs公牛	活塞	公牛	21	26
2017/1/14	星期日	9:30	掘金vs马刺	掘金	马刺	15	5
2017/1/15	星期一	2:00	雄鹿vs热火	雄鹿	热火	25	23
2017/1/15	星期一	4:30	鹈鹕vs尼克斯	鹈鹕	尼克斯	11	16
2017/1/15	星期一	9:00	步行者vs太阳	步行者	太阳	13	28
2017/1/15	星期一	10:00	开拓者vs森林狼	开拓者	森林狼	12	6
2017/1/16	星期二	1:30	黄蜂vs活塞	黄蜂	活塞	24	21
2017/1/16	星期二	2:00	猛龙vs76人	猛龙	76人	14	7
2017/1/16	星期二	3:00	雄鹿vs奇才	雄鹿	奇才	25	22
2017/1/16	星期二	4:00	尼克斯vs篮网	尼克斯	篮网	16	19
2017/1/16	星期二	4:00	国王vs雷霆	国王	雷霆	17	0
2017/1/16	星期二	4:00	马刺vs老鹰	马刺	老鹰	5	27
2017/1/16	星期二	4:30	热火vs公牛	热火	公牛	23	26
2017/1/16	星期二	6:30	湖人vs灰熊	湖人	灰熊	20	9
2017/1/16	星期二	9:00	勇士vs骑士	勇士	骑士	2	3
2017/1/16	星期二	10:00	步行者vs爵士	步行者	爵士	13	18
2017/1/16	星期二	11:30	火箭vs快船	火箭	快船	1	8
2017/1/17	星期三	8:00	森林狼vs魔术	森林狼	魔术	6	10
2017/1/17	星期三	8:30	鹈鹕vs凯尔特人	鹈鹕	凯尔特人	11	4
2017/1/17	星期三	10:00	小牛vs掘金	小牛	掘金	29	15
2017/1/17	星期三	11:00	太阳vs开拓者	太阳	开拓者	28	12
2017/1/18	星期四	8:00	奇才vs黄蜂	奇才	黄蜂	22	24
2017/1/18	星期四	8:30	马刺vs篮网	马刺	篮网	5	19
2017/1/18	星期四	8:30	鹈鹕vs老鹰	鹈鹕	老鹰	11	27
2017/1/18	星期四	8:30	活塞vs猛龙	活塞	猛龙	21	14
2017/1/18	星期四	9:00	尼克斯vs灰熊	尼克斯	灰熊	16	9
2017/1/18	星期四	9:00	热火vs雄鹿	热火	雄鹿	23	25
2017/1/18	星期四	9:00	湖人vs雷霆	湖人	雷霆	20	0
2017/1/18	星期四	9:00	勇士vs公牛	勇士	公牛	2	26
2017/1/18	星期四	11:00	爵士vs国王	爵士	国王	18	17
2017/1/18	星期四	11:30	掘金vs快船	掘金	快船	15	8
2017/1/19	星期五	8:00	魔术vs骑士	魔术	骑士	10	3
2017/1/19	星期五	8:00	76人vs凯尔特人	76人	凯尔特人	7	4
2017/1/19	星期五	10:30	森林狼vs火箭	森林狼	火箭	6	1
2017/1/19	星期五	11:00	步行者vs开拓者	步行者	开拓者	13	12
2017/1/20	星期六	8:00	马刺vs猛龙	马刺	猛龙	5	14
2017/1/20	星期六	8:30	热火vs篮网	热火	篮网	23	19
2017/1/20	星期六	9:00	奇才vs活塞	奇才	活塞	22	21
2017/1/20	星期六	9:00	国王vs灰熊	国王	灰熊	17	9
2017/1/20	星期六	10:00	太阳vs掘金	太阳	掘金	28	15
2017/1/20	星期六	11:30	步行者vs湖人	步行者	湖人	13	20
2017/1/20	星期六	11:30	尼克斯vs爵士	尼克斯	爵士	16	18
2017/1/21	星期日	4:30	雷霆vs骑士	雷霆	骑士	0	3
2017/1/21	星期日	6:00	公牛vs老鹰	公牛	老鹰	26	27
2017/1/21	星期日	8:00	热火vs黄蜂	热火	黄蜂	23	24
2017/1/21	星期日	8:00	灰熊vs鹈鹕	灰熊	鹈鹕	9	11
2017/1/21	星期日	8:30	雄鹿vs76人	雄鹿	76人	25	7
2017/1/21	星期日	9:30	勇士vs火箭	勇士	火箭	2	1
2017/1/21	星期日	10:00	快船vs爵士	快船	爵士	8	18
2017/1/21	星期日	10:00	猛龙vs森林狼	猛龙	森林狼	14	6
2017/1/21	星期日	11:00	小牛vs开拓者	小牛	开拓者	29	12
2017/1/22	星期一	2:00	魔术vs凯尔特人	魔术	凯尔特人	10	4
2017/1/22	星期一	4:30	尼克斯vs湖人	尼克斯	湖人	16	20
2017/1/22	星期一	5:00	篮网vs活塞	篮网	活塞	19	21
2017/1/22	星期一	8:00	步行者vs马刺	步行者	马刺	13	5
2017/1/23	星期二	8:00	国王vs黄蜂	国王	黄蜂	17	24
2017/1/23	星期二	8:30	爵士vs老鹰	爵士	老鹰	18	27
2017/1/23	星期二	9:00	公牛vs鹈鹕	公牛	鹈鹕	26	11
2017/1/23	星期二	9:00	热火vs火箭	热火	火箭	23	1
2017/1/23	星期二	9:00	太阳vs雄鹿	太阳	雄鹿	28	25
2017/1/23	星期二	9:00	76人vs灰熊	76人	灰熊	7	9
2017/1/23	星期二	9:30	奇才vs小牛	奇才	小牛	22	29
2017/1/23	星期二	10:00	开拓者vs掘金	开拓者	掘金	12	15
2017/1/23	星期二	11:30	森林狼vs快船	森林狼	快船	6	8
2017/1/24	星期三	8:00	国王vs魔术	国王	魔术	17	10
2017/1/24	星期三	9:00	篮网vs雷霆	篮网	雷霆	19	0
2017/1/24	星期三	9:00	骑士vs马刺	骑士	马刺	3	5
2017/1/24	星期三	11:30	尼克斯vs勇士	尼克斯	勇士	16	2
2017/1/24	星期三	11:30	凯尔特人vs湖人	凯尔特人	湖人	4	20
2017/1/25	星期四	8:00	太阳vs步行者	太阳	步行者	28	13
2017/1/25	星期四	8:00	鹈鹕vs黄蜂	鹈鹕	黄蜂	11	24
2017/1/25	星期四	8:00	爵士vs活塞	爵士	活塞	18	21
2017/1/25	星期四	8:00	公牛vs76人	公牛	76人	26	7
2017/1/25	星期四	8:30	猛龙vs老鹰	猛龙	老鹰	14	27
2017/1/25	星期四	9:00	马刺vs灰熊	马刺	灰熊	5	9
2017/1/25	星期四	9:00	火箭vs小牛	火箭	小牛	1	29
2017/1/25	星期四	11:00	森林狼vs开拓者	森林狼	开拓者	6	12
2017/1/25	星期四	11:30	凯尔特人vs快船	凯尔特人	快船	4	8
2017/1/26	星期五	8:30	国王vs热火	国王	热火	17	23
2017/1/26	星期五	9:00	奇才vs雷霆	奇才	雷霆	22	0
2017/1/26	星期五	10:00	尼克斯vs掘金	尼克斯	掘金	16	15
2017/1/26	星期五	11:30	森林狼vs勇士	森林狼	勇士	6	2
2017/1/27	星期六	8:00	老鹰vs黄蜂	老鹰	黄蜂	27	24
2017/1/27	星期六	8:30	爵士vs猛龙	爵士	猛龙	18	14
2017/1/27	星期六	8:30	步行者vs骑士	步行者	骑士	13	3
2017/1/27	星期六	9:00	篮网vs雄鹿	篮网	雄鹿	19	25
2017/1/27	星期六	9:00	湖人vs公牛	湖人	公牛	20	26
2017/1/27	星期六	9:00	火箭vs鹈鹕	火箭	鹈鹕	1	11
2017/1/27	星期六	9:00	快船vs灰熊	快船	灰熊	8	9
2017/1/27	星期六	9:30	76人vs马刺	76人	马刺	7	5
2017/1/27	星期六	9:30	开拓者vs小牛	开拓者	小牛	12	29
2017/1/27	星期六	10:00	尼克斯vs太阳	尼克斯	太阳	16	28
2017/1/28	星期日	8:00	雷霆vs活塞	雷霆	活塞	0	21
2017/1/28	星期日	8:00	魔术vs步行者	魔术	步行者	10	13
2017/1/28	星期日	8:30	黄蜂vs热火	黄蜂	热火	24	23
2017/1/28	星期日	8:30	奇才vs老鹰	奇才	老鹰	22	27
2017/1/28	星期日	9:30	凯尔特人vs勇士	凯尔特人	勇士	4	2
2017/1/28	星期日	10:00	小牛vs掘金	小牛	掘金	29	15
2017/1/28	星期日	10:00	篮网vs森林狼	篮网	森林狼	19	6
2017/1/29	星期一	4:30	太阳vs火箭	太阳	火箭	28	1
2017/1/29	星期一	4:30	雄鹿vs公牛	雄鹿	公牛	25	26
2017/1/29	星期一	5:00	快船vs鹈鹕	快船	鹈鹕	8	11
2017/1/29	星期一	7:00	湖人vs猛龙	湖人	猛龙	20	14
2017/1/29	星期一	7:00	活塞vs骑士	活塞	骑士	21	3
2017/1/29	星期一	7:00	76人vs雷霆	76人	雷霆	7	0
2017/1/29	星期一	8:00	国王vs马刺	国王	马刺	17	5
2017/1/30	星期二	8:00	黄蜂vs步行者	黄蜂	步行者	24	13
2017/1/30	星期二	8:30	森林狼vs老鹰	森林狼	老鹰	6	27
2017/1/30	星期二	9:00	太阳vs灰熊	太阳	灰熊	28	9
2017/1/30	星期二	9:00	76人vs雄鹿	76人	雄鹿	7	25
2017/1/30	星期二	9:30	热火vs小牛	热火	小牛	23	29
2017/1/30	星期二	10:00	凯尔特人vs掘金	凯尔特人	掘金	4	15
2017/1/31	星期三	8:00	雷霆vs奇才	雷霆	奇才	0	22
2017/1/31	星期三	8:30	篮网vs尼克斯	篮网	尼克斯	19	16
2017/1/31	星期三	8:30	森林狼vs猛龙	森林狼	猛龙	6	14
2017/1/31	星期三	9:00	国王vs鹈鹕	国王	鹈鹕	17	11
2017/1/31	星期三	9:00	魔术vs火箭	魔术	火箭	10	1
2017/1/31	星期三	9:00	骑士vs活塞	骑士	活塞	3	21
2017/1/31	星期三	9:30	掘金vs马刺	掘金	马刺	15	5
2017/1/31	星期三	10:00	勇士vs爵士	勇士	爵士	2	18
2017/1/31	星期三	11:30	开拓者vs快船	开拓者	快船	12	8
2017/2/1	星期四	8:00	湖人vs魔术	湖人	魔术	20	10
2017/2/1	星期四	8:00	灰熊vs步行者	灰熊	步行者	9	13
2017/2/1	星期四	8:30	76人vs篮网	76人	篮网	7	19
2017/2/1	星期四	8:30	黄蜂vs老鹰	黄蜂	老鹰	24	27
2017/2/1	星期四	8:30	热火vs骑士	热火	骑士	23	3
2017/2/1	星期四	9:00	尼克斯vs凯尔特人	尼克斯	凯尔特人	16	4
2017/2/1	星期四	11:00	公牛vs开拓者	公牛	开拓者	26	12
2017/2/1	星期四	11:30	小牛vs太阳	小牛	太阳	29	28
2017/2/2	星期五	8:00	猛龙vs奇才	猛龙	奇才	14	22
2017/2/2	星期五	8:00	灰熊vs活塞	灰熊	活塞	9	21
2017/2/2	星期五	9:00	雄鹿vs森林狼	雄鹿	森林狼	25	6
